title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,url
Remaking Participation,2016,"[ ""Félix Tréguer"" ]",livre,Routledge,,Chilvers et Kearnes,"[ ""2.4. Réguler l’IA"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_121058-9pf
CONCERTATION CITOYENNE SUR LES ENJEUX ETHIQUES LIES A LA PLACE DES ALGORITHMES DANS NOTRE VIE QUOTIDIENNE : SYNTHESE DE LA JOURNEE,2017,"[ ""Félix Tréguer"", ""William Eldin"" ]",communiqué,CNIL,,CNIL,"[ ""2.4. Réguler l’IA"", ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_100759-zdh
Agir dans un monde incertain,2001,"[ ""Félix Tréguer"" ]",livre,Seuil,,"Callon, Lascoumes, Barthe","[ ""2.4. Réguler l’IA"", ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_120829-6ff
IA Act / Proposition de règlement du Parlement Européen,2021,"[ ""Cécile Crichton"", ""PA Chevalier"", ""Sumi Saint-Auguste"", ""Hugo Ruggieri"", ""Célia Zolynski"", ""Eric Gaussier"", ""P.Ramaciotti Morales"", ""William Eldin"" ]",texte législatif,Commission Européenne,Proposition de règlement du Parlement Européen et du conseil établissant des règles harmonisées concernant l'intelligence artificielle.,Parlement Européen,"[ ""2.4. Réguler l’IA"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_153335-p7m
Rapport enjeux juridiques de l'IA - thinkH,2017,"[ ""Hugo Ruggieri"" ]",rapport,Think H+,Rapport à destination du rapport Villani par le think tank ThinkH+ (enjeux juridiaues du transhumanisme et de l'IA) sur les problématiques de l'IA dans le droit des données personnelles et le droit de la propriété intellectuelle,"Hugo Ruggierri, Félicité Bernard, Gabrielle Lecordier","[ ""2.4. Réguler l’IA"", ""1.1. Définir l'IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_092214-jlh
Avis sur la lutte contre la haine en ligne (CNCDH),2021,"[ ""Célia Zolynski"" ]",rapport,CNCDH,,CNCDH,"[ ""2.4. Réguler l’IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_115719-gun
CLODO - Comité de libération et détournement d'ordinateurs,2022,"[ ""Félix Tréguer"" ]",database,Global Terrorism Database,"Global Terrorism Database - sabotage du Comité de libération et détournement d'ordinateurs CLODO (Toulouse, 1983)",,"[ ""2.4. Réguler l’IA"", ""2.2. Produire une critique de l’IA"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_171010-9g1
Manifeste pour une éthique du numérique - Comité consultatif éthique numérique,2021,"[ ""Célia Zolynski"" ]",manifeste,Comité consultatif d'éthique du numérique,Manifeste pour une éthique du numérique du Comité national pilote du numérique,,"[ ""2.4. Réguler l’IA"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_100256-iw9
Echange généralisé de données entre administrations,2021,"[ ""Émile Marzolf"" ]",article de presse,Acteurs Publics,"L'assemblée nationale entamera à son tour lundi 6 décembre l'examen du très attendu projet de loi ""3DS"" sur la décentralisation en séance publique. Son article 50 organise le partage de par défaut entre pour lutter contre le non-recours aux droits, et non pour sanctionner, précise désormais le texte. L'exécutif souhaite également lancer l'expérimentation de 10 ""territoires zéro non-recours"".",Emile Marzolf,"[ ""2.4. Réguler l’IA"", ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_134100-51d
Surveiller les foules,2021,"[ ""médialab"" ]",livre blanc,Observatoire de l'éthique publique,,"C. Lequesne Roth, J. Keller","[ ""2.4. Réguler l’IA"", ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_143308-e1f
Drones : la CNIL sanctionne le ministère de l'Intérieur,2021,"[ ""Félix Tréguer"" ]",communiqué,CNIL,,CNIL,"[ ""2.4. Réguler l’IA"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220604_203320-15d
Revue du livre de Vincent Dubois sur internetactu.net,2021,"[ ""Hubert Guillaud"" ]",article (presse spécialisée),internet.actu,"Revue de l'enquête de Vincent Dubois sur le contrôle des bénéficiaires de l'aide sociale des Caisses d'Allocations Familiates, intitulée Contrôler les assistés, genèses et usages d'un mot d'ordre (Raison d'agir, 2021)",Hubert Guillaud,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_163055-brz
Allocution Président de la République Open Government Partnership,2014,"[ ""PA Chevalier"" ]",article de blog,Blog Etalab,"Blog Etalab reportant l'allocution de François Hollande au Sommet de l'Open Government Partnership, qui rassemble les chefs d'Etats sur la thématique de l'open data dans l'administration",,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_121018-h5y
Bloomberg's Geek Squad - NY Times,2014,"[ ""PA Chevalier"" ]",article de presse,New York Times,"Article sur l'équipe de data science de la mairie de New York, portée par Mike Flowers, pionnière dans l'emploi du big data dans l'administration urbaine",Alan Feuer,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_110153-pf2
De premiers résultats prometteurs pour l'intelligence artificielle dans les administrations,2019,"[ ""Hubert Guillaud"" ]",article de presse,Acteurs Publics,"Bilan, paru dans Acteurs Publics, des résultats de l'appel à manifestations d'intérêt de 2018 pour identifier les meilleurs projets d'administrations désireuses d'explorer les opportunités offertes par l'intelligence artificielle.",Acteurs Publics,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_193152-qj3
Précaires et dématérialisation des services publics,2021,"[ ""Émile Marzolf"", ""Damien Robinet"" ]",article de presse,Acteurs Publics,"Article sur les défis posés par la numérisation pour les migrants, mineurs isolés, bénéficiaires du RSA, demandeurs d’emploi etc.",Emile Marzolf,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_142105-yve
5 projets pour faire avancer la recherche en IA pour l'administration,2022,"[ ""PA Chevalier"" ]",article de presse,Acteurs Publics,Article sur les 5 projet sélectionnés par le Lab AI dans le cadre du 3ème appel.,Acteurs Publics,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_171833-85s
Nominations d'Henri Verdier,2021,"[ ""Émile Marzolf"" ]",bulletin officiel,JORF,,JORF,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_144335-ls6
Question au Sénat sur le contrat de Microsoft avec le Ministère des Armées,2019,"[ ""Frédéric Bardolle"" ]",bulletin officiel,Sénat,"Question écrite de Mme Christine Prunaud sur le partenariat entre Microsoft et le Ministère des Armées, et le contrat ""open bar"" de Microsoft pour l'équipement informatique (système d'exploitation, suite logiciel, cloud...).",,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221115_140611-oo6
Lauréats 2019 | Fonds de transformation de l'action publique (DITP),2019,"[ ""Émile Marzolf"" ]",communiqué,DITP,Lauréats du FTAP (dont Foncier Innovant) avec les présentations résumées des projets et les sommes allouées,DITP,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230630_111746-w7i
Expérimentation du Foncier innovant,2022,"[ ""Damien Robinet"" ]",communiqué,impots.gouv.fr,"Afin de garantir une meilleure fiabilité des bases de la fiscalité directe locale, la DGFiP recourt, dans le cadre du projet « Foncier innovant », aux technologies novatrices d'intelligence artificielle et de valorisation des données à partir des prises de vue aériennes de l'Institut national de l'information géographique et forestière (IGN).",,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221117_174613-ny8
Points clés des feuilles de route ministérielle sur les politiques publiques des données,2021,"[ ""PA Chevalier"" ]",datavisualisation,data.gouv,"Par une circulaire du 27 avril 2021 ((https://www.legifrance.gouv.fr/circulaire/id/45162)), qui s’appuie sur les préconisations du rapport du député Éric Bothorel qui lui avait été remis le 23 décembre dernier, le Premier ministre demande à l’ensemble des ministères de s’engager sur une feuille de route de sur l’ouverture, la circulation et l’exploitation des données, des algorithmes et des codes sources. Ce tableau permet de visualiser l’ensemble des engagements des ministères pris dans leurs feuilles de route (source (https://www.data.gouv.fr/fr/datasets/liste-des-actions-prises-par-les-ministeres-dans-le-cadre-des-feuilles-de-routes-ministerielles/))",PA Chevalier,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_115136-orw
Grand Plan d'investissement / Fonds pour la transformation de l'action publique,2019,"[ ""Damien Robinet"" ]",décision administrative,DITP,foncier innovant - valorisation des données foncières par recours à l'intelligence artificielle et au datamining et automatisation de la mmise à jour du plan cadastral.,DITP,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_172733-voq
ANAIS,2019,"[ ""Frédéric Bardolle"" ]",interface,Ministère des Armées,,,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221115_141204-n6z
Naissance de la police scientifique,2016,"[ ""Marie Lechner"" ]",livre,Orep Editions,"Un œil sur le crime. Naissance de la police scientifique. Alphonse Bertillon de A à Z,",Pierre Piazza,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_164118-dee
La digitalisation du service public - Pour une éthique numérique inclusive,2021,"[ ""Damien Robinet"", ""Émile Marzolf"" ]",livre blanc,Observatoire de l'éthique publique,,C. Lequesne Roth,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221117_170107-sst
Podcast Hackers Publics,2021,"[ ""Frédéric Bardolle"" ]",podcast,Apple Podcast,Série podcast sur celles et ceux qui transforment la culture numérique de l’administration.,,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221024_153752-xs6
Fiche présentation La Bonne Boite,2021,"[ ""PA Chevalier"", ""Hubert Guillaud"" ]",présentation (projet),Pole Emploi,Fiche de présentation La Bonne Boite (Pole Emploi) - algorithme de prédiction de l'embauche pour le ciblage des candidatures. Développé avec Etalab,,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_125120-f55
Journée Algorithmes d'aide à la décision publique,2022,"[ ""médialab"" ]",programme,Société Informatique de France,"L’objectif de cette journée est de sensibiliser le grand public aux rôles des algorithmes d’aide à la décision publique utilisés par exemple pour l’affectation des étudiants, la sélection des receveurs de greffons cardiaques ou le calcul des impôts. La journée sera l’occasion de faire un état des lieux des résultats scientifiques sur lesquels ces algorithmes se fondent et les recherches actuelles qui se développent pour innover dans ce domaine.",,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221021_142546-1w5
Bercy Innov - programme colloque 2021,2021,"[ ""Damien Robinet"" ]",programme,"Ministère de l'économie, des finances et de la relance",quatrième édition de BercyINNOV 2021 vient clôturer le mois de l'innovation publique,,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220926_163118-6d0
Automated Decision-Making Systems in the Public Sector,2021,"[ ""Hubert Guillaud"" ]",rapport,,rapport de l'association AlgorithmWatch sur les outils automatiques d'aide à la décision dans le secteur public. Conçu comme un outil d'évaluation d'impact à destination des autorités publiques.,AlgorithmWatch,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_204251-ftf
Dématérialisation du service public : rapport du Défenseur des droits,2022,"[ ""Damien Robinet"", ""Émile Marzolf"" ]",rapport,Défenseur des droits,Rapport qui a pointé du doigt les manques quant à l'exclusion de beaucoup de personnes et à l'illectronisme. Manque d'accès au service public du fait de la dématérialisation et du tout numérique.,Défenseur des droits,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_225454-hju
NOTRE STRATÉGIE POUR LA TRANSFORMATION DE L’ACTION PUBLIQUE,2018,"[ ""Félix Tréguer"" ]",stratégie,DITP,Comité interministériel de la transformation publique,DITP,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_174051-rmq
Amendement à la loi 3Ds,2021,"[ ""Émile Marzolf"" ]",texte législatif,,"Amendement à la loi relative à la différenciation, la décentralisation, la déconcentration et portant diverses mesures de simplification de l'action publique locale",,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_170318-q07
Décret n° 2014-1050 du 16 septembre 2014 instituant un administrateur général des données,2014,"[ ""PA Chevalier"" ]",texte législatif,,,,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_172421-m3i
"Aigle, un outil pour lutter contre la cabanisation",2021,"[ ""PA Chevalier"", ""Hubert Guillaud"", ""Romain Boucher"", ""Émile Marzolf"" ]",vidéo,Vimeo,Vidéo de présentation du projet Aigle par la Direction Départementale des Territoires et de la Mer de l'Hérault (DDTM 34). L'outil promet de lutter contre la cabanisation (constructions illégales) grâce à l'analyse d'images satellite par de l'Intelligence Artificielle.,DDTM 34,"[ ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_153146-qws
Stratégie Nationale pour le cloud,2021,"[ ""Émile Marzolf"" ]",stratégie,Gouvernement,soutenir l'innovation dans le cloud,"Bruno Lemaire, Cédric O","[ ""2.5. Instrumenter l'action publique"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_150650-wgl
Comment fonctionne le dispositif France Expérimentation dédié aux administrations,2021,"[ ""Émile Marzolf"" ]",article de presse,Acteurs Publics,"Article sur le dispositif France Expérimentation, qui permet à des acteurs économiques d'obtenir des dérogations à titre expérimental pour mener à bien leurs projets.",Acteurs Publics,"[ ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_171412-fj3
Expérimentations au Lab IA,2021,"[ ""Émile Marzolf"" ]",article de presse,Acteurs Publics,IA : la DSI de l'état veut faire sauter les verrous technologiques,Emile Marzolf,"[ ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_131329-bi7
Exclusif : le ministère de la Justice renonce à son algorithme DataJust,2022,"[ ""PA Chevalier"", ""Cécile Crichton"", ""Émile Marzolf"" ]",article de presse,Acteurs Publics,"Article à propos de l'abandon par le ministère de la Justice du développement en interne de l'algorithme DataJust, dédié à l'indemnisation des victimes de préjudices corporels",Emile Marzolf,"[ ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_153403-6en
Marché Public DINSIC x OCTO (2018),2018,"[ ""Émile Marzolf"" ]",bulletin officiel,centrale des marchés,Accord cadre entre la DINSIC et OCTO Technology pour 70 millions d'euros,tribunal administratif,"[ ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230630_111423-1pr
Open Solar Map,2017,"[ ""PA Chevalier"" ]",présentation (projet),Etalab,Projet développé lors d'un hackathon par Etalab (Christian Quest) à l'aide d'Open Street map.,,"[ ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230119_131243-l3p
Tweet marché public SIA Partners x Ministère de l'Agriculture,2021,"[ ""Émile Marzolf"" ]",tweet,Twitter,"Tweet du journaliste Emile Marzolf (Acteurs Publics) annonçant le lauréat de l'offre de marché public, Sia Partners pour le projet IAlim du ministère de l'agriculture (contrôles sanitaires)",Emile Marzolf,"[ ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230630_112028-d40
Dématérialisation des actes d'état civil,2021,"[ ""Émile Marzolf"" ]",tweet,Twitter,"De l'expérimentation à la pérennisation, sans évaluation ?",Emile Marzolf,"[ ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_144138-6r3
AuntMinnie,2022,"[ ""Ninon Burgos"" ]",article (presse spécialisée),Site d'AuntMinnie,Page d'accueil d'un populaire site de radiologie,AuntMinnie,"[ ""3.1. Appliquer l'IA (de la recherche au business)"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_174455-6mx
Aramis Lab,2022,"[ ""Ninon Burgos"" ]",laboratoire,Site de l'Aramis Lab,"Présentation des axes de recherche, des domaines méthodologiques et des principaux domaines d'application de l'Aramis Lab, rattaché à l'Institut du Cerveau",Aramis Lab,"[ ""3.1. Appliquer l'IA (de la recherche au business)"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_145117-wlk
Stanley Durrleman - Chaire PRAIRIE,2022,"[ ""Ninon Burgos"" ]",profil,Site de PRAIRIE,"Présentation de la chaire PRAIRIE ""Statistical learning, imaging, neurosciences"" tenue par Stanley Durrleman, directeur de l'équipe de recherche Inria / ICM Aramis",Stanley Durrleman,"[ ""3.1. Appliquer l'IA (de la recherche au business)"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_124014-lnh
Tweet - AI4Health Winter School,2021,"[ ""Ninon Burgos"" ]",tweet,Twitter,Série de retweets de N. Burgos et de l'Aramis Lab à partir d'un tweet du Health Data Hub à propos de la AI4Health Winter,Aramis Lab,"[ ""3.1. Appliquer l'IA (de la recherche au business)"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_172520-gzj
Stratégie Nationale pour l'IA — 2e phase,2021,"[ ""Émile Marzolf"" ]",stratégie,Gouvernement,,"Bruno Lemaire, Frédérique Vidal, Cédric O","[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_134839-9qc
Le licenciement polémique de Timnit Gebru - Le Monde,2020,"[ ""PA Chevalier"" ]",article de presse,Le Monde (Pixels),"Article du Monde sur le licenciement par Google de la chercheuse Timnit Gebru, qui travaille sur des questions liées à l'éthique de l'IA",Le Monde,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_140445-055
Towards the Systemic Reporting of the Energy and Carbon Footprints of Machine Learning,2020,"[ ""Alexandre Défossez"" ]",article scientifique,arXiv,Article collectif autour de la prise en compte de l'empreinte énergétique et carbone du machine learning,"Peter Henderson, Jieru Hu, Joshua Romoff, Emma Brunskill, Dan Jurafsky & Joelle Pineau","[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_125822-grd
Rapid Object Detection using a Boosted Cascade of Simple Features,2001,"[ ""Alexandre Défossez"" ]",article scientifique,Conference on Computer Vision and Pattern Recognition,Article introduisant une nouvelle approche de machine learning pour la détection d'objet visuel,Paul Viola & Michael Jones,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_130202-s7h
Introducing the AI Research SuperCluster - Meta's cutting-edge AI supercomputer for AI research,2022,"[ ""Alexandre Défossez"" ]",présentation (projet),Meta,Présentation par l'entreprise Meta du nouveau superordinateur dédié à la recherche en IA,Meta,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""1.4. Écologiser l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_130020-u4r
Les chercheurs de l'INRIA contre leur patron « startupeur »,2022,"[ ""Cédric Buron"" ]",article de presse,Médiapart,"Depuis plusieurs mois, un conflit oppose les chercheurs du prestigieux Institut de recherche en informatique et en automatique à leur PDG, Bruno Sportisse. Outre son autoritarisme, ils lui reprochent de délaisser la recherche fondamentale au profit de créations de start-up.",Jérôme Hourdeaux,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""2.4. Réguler l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_104225-i7g
Introduction to Brat (outil) : console d'annotation,2022,"[ ""Sumi Saint-Auguste"" ]",guide,brat (website),Tutoriel d'introduction à l'outil Brat / console d'annotation open source,Brat contributors,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_220011-m3z
Arterys - Neuro AI,2022,"[ ""Ninon Burgos"" ]",startup,Site de l'entreprise Arterys,"Présentation de la solution logicielle de neuro-radiologie ""Neuro AI"" de l'entreprise Arterys",Arterys,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_145325-8ov
Keyrus renforce les fonds propres de la start-up LumenAI,2018,"[ ""Sébastien Loustau"" ]",article de blog,Site de Keyrus,Communiqué de presse à propos de l'investissement de l'entreprise Keyrus dans la startup française LumenAI,Keyrus,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_174324-r6s
"Le Comité analyse, recherche et expertise (CARE) Covid-19",2020,"[ ""Pierre Latouche"" ]",communiqué,Site du Ministère de l'ESR et de l'Innovation,"Présentation du Comité analyse, recherche et expertise (CARE) Covid-19, composé de douze chercheurs et médecins",Ministère de l'ESR et de l'Innovation,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_173056-9wk
Bienvenue à Gattaca,1997,"[ ""Pierre Latouche"" ]",film,Site de L'Internaute,"Affiche du film ""Bienvenue à Gattaca"" (1997), réalisé par Andrew Niccol",Andrew Niccol,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_172735-04a
Liberté & Cie. Quand la liberté des salariés fait le succès des entreprises,2016,"[ ""Sébastien Loustau"" ]",livre,Site de Flammarion,"Livre de I. Getz et B. Carney à propos des entreprises dites ""libérées""",Isaac Getz & Brian M. Carney,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_175205-jc9
Licence à distance en philosophie,2022,"[ ""Sébastien Loustau"" ]",maquette pédagogique,Site de l'Université de Picardie,"Plaquette de présentation de la licence à distance en ""Philosophie"", organisée par le CNED et l'UPJV",Université de Picardie,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.5. Justifier les projets d’IA "" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_174940-1ms
La CyberDefense Factory,2021,"[ ""Sébastien Loustau"" ]",tweet,Twitter,"Communiqué du Ministère des Armées à propos de la CyberDefense Factory, qui héberge des projets de jeunes start-ups françaises (dont LumenAI)",Ministère des Armées,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""3.5. Justifier les projets d’IA "", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_174551-0ka
Réseau Legal Tech | France Digitale,2021,"[ ""Hugo Ruggieri"", ""Sumi Saint-Auguste"" ]",article de blog,Blog de l'innovation du droit,,France Digitale,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_160703-52n
Calendrier de l'open data des décisions de justice,2022,"[ ""Sumi Saint-Auguste"", ""Hugo Ruggieri"" ]",bulletin officiel,Rendez-vous Transformations du droit 2021,Calendrier de l'open data révélée par le Ministère de la Justice en 2021 qui décrit juridiction par juridiction les dates prévues d'accès de manière massive aux décisions de justice,Emmanuelle Wacherheim,"[ ""3.1. Appliquer l'IA (de la recherche au business)"", ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_213427-6eb
"La DGSI renouvelle son contrat avec l'Américain Palantir, faute de système 100% français",2019,"[ ""Hubert Guillaud"", ""Félix Tréguer"" ]",article (presse spécialisée),Usine Nouvelle,Article de l'Usine Nouvelle rapportant que la Direction Générale de la Sécurité Intérieure française (DGSI) renouvelle son contrat avec l'entreprise américaine Palantir pour traiter les données liées à la lutte contre le terrorisme.,L'Usine Nouvelle,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_201059-tfa
Article Dalloz / Annulation d'un dispositif expérimental de reconnaissance faciale dans 2 lycées,2020,"[ ""Cécile Crichton"" ]",article (presse spécialisée),Dalloz,Article sur l'annulation de l'autorisation à titre expérimental d'un dispositif de reconnaissance faciale dans 2 lycées de Marseille.,Cécile Crichton,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_160525-a2c
Harcèlement sexuel dans le Metavers,2021,"[ ""Lucie Ronfaut"" ]",article (presse spécialisée),Numerama,,Corentin Bechade,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_162503-c7s
Big Tech manipulates AI ethics,2019,"[ ""PA Chevalier"" ]",article de presse,The Intercept,"Article sur la manipulation de la recherche sur l'éthique de l'IA, à partir du cas du Medialab du MIT.",Rodrigo Ochigame,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_125903-bdv
La Banque de France automatise son expertise,1996,"[ ""Eric Gaussier"" ]",article de presse,Les Echos,Article des Echos à propos d'un dispositif d'aide au diganostic développé au sein du Centre d'Intelligence Artificielle (CIA) de la Banque de France,Paul Molga,"[ ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_164834-d9n
